adm0_name,adm0_gaulcode,adm0_pcod3,adm0_pcod2,region,adm1_name,adm1_gaulcode,adm1_pcod3,adm1_pcod2,adm2_name,adm2_gaulcode,adm2_pcod3,adm2_pcod2,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,chtype,exercise_code,exercise_label,exercise_year,reference_code,reference_label,reference_year,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,usethisperiod
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Houet,154469,BFA053001,BF5301,1226788,1,1055038,171750,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Kenedougou,154470,BFA053002,BF5302,368350,1,316781,51569,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Hauts-Bassins,40284,BFA053,BF53,Tuy,154471,BFA053003,BF5303,293329,1,252263,41066,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Cascades,40277,BFA047,BF47,Comoe,154448,BFA047001,BF4701,553466,1,475981,77485,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Cascades,40277,BFA047,BF47,Leraba,154449,BFA047002,BF4702,155898,1,134072,21826,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Nord,40280,BFA049,BF49,Bam,154454,BFA049001,BF4901,342868,2,264008,78860,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Nord,40280,BFA049,BF49,Namentenga,154455,BFA049002,BF4902,409707,2,315474,94233,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Nord,40280,BFA049,BF49,Sanmatenga,154456,BFA049003,BF4903,742719,2,571894,170825,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Ouest,40281,BFA050,BF50,Boulkiemde,154457,BFA050001,BF5001,611403,2,470780,140623,0,0,0,0,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
Burkina Faso,42,BFA,BF,,Centre-Ouest,40281,BFA050,BF50,Sanguie,154458,BFA050002,BF5002,358550,2,193617,164933,,,,,projected,2,Jan-May,2014,3,Jun-Aug,2014,,,,,Y
